startTimeStep 1stPedId 2ndPedId durationTimesteps-PID5 xPath-PID5 yPath-PID5
13 55 100 1 45.20654723349259 9.23156760094118
14 2 40 1 51.11013347367526 11.570115296320644
14 18 26 1 40.598257042405464 14.345526516481062
14 42 55 1 42.95494277483298 8.746743965504267
15 4 89 1 42.07750645505377 6.309163506038119
16 6 41 1 50.910911101929784 18.831900760091614
16 16 91 2 38.67284274070975 10.061237045053291
- - - - 38.67284274070975 10.061237045053291
16 36 74 2 35.30343382219604 7.658694770958243
- - - - 35.30343382219604 7.658694770958243
17 14 27 2 47.81454300007386 12.493394299939968
- - - - 47.81454300007386 12.493394299939968
17 50 88 1 30.011992381567197 15.62263493977467
18 77 94 1 35.49480100675832 15.936333106152453
19 32 98 1 33.82418198243434 4.458002688140612
19 42 89 1 39.46369356328351 6.581855714875571
19 67 68 1 41.356595906077914 12.430674976662278
20 48 73 2 49.564763115840705 1.6331096190678431
- - - - 49.564763115840705 1.6331096190678431
21 66 91 1 37.274746847171 8.27210718019977
22 5 32 1 34.75184428461954 5.160564398095465
22 43 57 1 45.93732667281638 2.9694260151229694
23 14 27 1 45.88637158669577 12.349503083475796
23 18 26 1 35.999543040122816 14.109908570204293
23 29 100 2 42.605569825664716 9.46426738889974
- - - - 41.85062607596857 9.556562287032875
24 19 25 1 45.49663571189268 16.697142255597203
25 4 62 2 40.437422708788986 5.936321884177828
- - - - 40.437422708788986 5.936321884177828
26 14 47 1 46.01307093916768 13.126999778000489
26 20 88 1 28.30817519606716 14.397651266125944
26 23 87 2 34.67706853126768 11.617782327673106
- - - - 34.67706853126768 11.617782327673106
27 13 55 1 38.661309331401824 8.383044979528009
27 37 92 1 30.80875344762575 9.70257019341066
27 42 91 1 36.684779932803096 7.5263698330838364
27 53 69 1 42.24199050901244 8.372151080009466
27 81 82 1 22.80724265074982 7.662590479339068
28 16 21 2 35.33254234392194 9.990222218189833
- - - - 35.33254234392194 9.990222218189833
28 66 89 1 33.67575387819765 7.517696810233393
29 7 58 1 35.49759870264296 17.813309647939537
29 14 99 1 45.3774712314441 12.436575047892424
29 23 87 1 34.01134731051422 11.664570756894312
29 35 64 1 25.92148899819407 11.373809037455088
30 10 32 1 29.323080410705533 5.622197834865509
30 29 100 1 39.19072896265712 10.380033862091546
30 48 73 1 45.93664424973991 1.9644024708194128
31 4 62 1 38.19244970766056 5.657286709665026
31 13 55 1 37.40396412712546 8.317753712212463
31 14 27 1 42.51705566064642 12.357563867520861
31 16 21 1 34.65716023093168 9.927709037490093
31 17 38 1 45.825793426225815 7.371920326704743
31 63 67 1 36.39957733739215 14.260150400337414
32 15 56 1 47.399954787511874 5.391446827739533
32 40 99 1 44.55617349563662 11.570378745923925
34 2 40 1 41.766048624367684 10.381915163871568
34 13 53 1 38.607139901680924 8.753567895099767
34 18 63 2 33.80260343224672 14.439891651716238
- - - - 32.966600040125954 14.366991640461352
35 2 53 1 39.8752632258728 9.432744110815987
35 39 47 1 43.17839400704921 14.667310885953317
35 62 69 2 38.15602630764337 6.921014746823239
- - - - 37.30886346005239 6.912612527884613
35 66 89 1 30.260539826559555 8.421834789083576
36 16 21 1 32.53244349977817 10.028347673528287
36 67 68 1 34.6049175822522 12.720177782293208
37 12 93 1 42.427469675621005 5.133805324331242
37 63 68 2 33.25420394623601 13.501665371597145
- - - - 33.25420394623601 13.501665371597145
38 4 42 1 33.87330868790166 5.925480081349619
38 5 79 1 29.758824404934856 4.447472844195559
38 7 58 1 31.026162944387607 18.065851354873033
38 27 29 1 38.30214140553615 11.285692418779842
39 81 82 1 16.13042362069482 8.342684931916082
40 80 82 2 13.908716984790255 8.126169819229858
- - - - 13.211913743508685 8.415209732873725
41 10 32 1 23.64442399121002 5.919486714900289
41 36 74 1 26.167202517720575 7.348973233263187
42 14 27 1 38.27872079182466 11.948773223240082
42 21 100 1 32.2750221456594 10.986387408621773
42 31 96 1 14.685168173922811 12.186093913892893
42 37 92 1 22.91221313852175 9.43387834740373
43 89 91 2 28.453328849383745 8.244969917777755
- - - - 27.63811531159179 8.363316174640925
44 18 94 1 26.53804927837711 14.326880776011055
46 10 90 1 19.14295676996401 5.441834067294307
46 51 76 1 21.663643013295662 2.820352620590997
46 57 84 1 30.784733506589692 2.659873308028386
47 64 92 1 18.855016067701648 10.41786271680241
48 52 63 1 28.4665280604232 15.11857735525024
48 88 96 1 13.941488796938827 11.733987010729514
49 24 81 1 12.567255870092149 8.353004453169202
50 18 26 1 24.776743945439826 12.505519194627936
50 58 78 1 23.004680634726572 16.074830898622672
51 1 83 1 30.036881329584467 17.15669113167817
52 6 41 1 32.93477554147131 18.19655547244065
52 52 63 2 26.383975587437174 15.371437885374867
- - - - 26.383975587437174 15.371437885374867
52 56 73 3 38.61807182181316 3.8999993832609356
- - - - 37.868508248906565 3.899999383260936
- - - - 37.868508248906565 3.899999383260936
53 27 29 1 32.78413777275043 11.401213449063995
53 43 69 2 31.703717519380962 5.73031390083509
- - - - 31.703717519380962 5.73031390083509
53 52 67 1 27.60915781122668 15.684954135192793
53 89 91 1 23.802025239054792 9.042680142702588
54 1 83 1 28.892739074410137 17.048180130068612
55 12 93 2 35.737807264705125 5.826686265206627
- - - - 35.737807264705125 5.826686265206627
55 27 29 1 32.1034351554156 11.25406759005779
55 78 97 1 19.44838542901408 13.465047434737826
57 13 29 1 29.39092106249941 10.939564596572282
57 20 54 1 16.81606794581306 11.590161923373572
58 18 26 1 22.253021583344267 11.954128226678225
58 22 67 1 27.004754499451618 14.895151882044964
59 14 99 1 34.074020578146985 11.130405549971357
59 18 94 2 21.504121926684427 13.072279935283365
- - - - 21.504121926684427 13.072279935283365
59 35 88 1 12.555938913135211 10.299387941279601
60 3 20 1 15.856292146377026 12.84391314166936
60 12 93 1 34.37705158196158 6.126701763601195
60 13 29 1 28.446638988403905 11.432667389243576
60 16 23 1 23.969792997591764 9.863093862170963
60 42 61 1 24.618897158879278 7.781686964136104
60 56 73 1 35.073263773074 4.095908402175282
61 18 87 1 23.16000349343625 12.234109765460161
61 61 91 1 22.356068092866366 7.964078264981555
62 28 50 2 12.711311877342737 12.765378177111643
- - - - 12.711311877342737 12.765378177111643
62 56 73 1 34.329807274164324 4.163086216141296
64 16 23 1 23.301300365545693 9.852920509755833
65 19 39 1 31.10399343592283 15.568813689755903
65 53 70 1 27.650456801483948 7.385862910440431
66 2 13 1 26.808206949730064 10.256694512656294
66 27 65 1 29.05791991431221 12.082928721904558
67 63 94 1 19.749588824917723 13.917215143095737
68 15 93 1 33.40567329249349 6.61769481131981
68 40 99 1 28.941070054565245 8.956558417520085
68 43 69 1 25.906207927834974 4.312586725637688
69 48 56 1 32.46462603267575 3.562722575741498
70 63 67 1 20.141765236542255 14.75924556658235
72 24 96 1 7.694955370495258 9.954063260117417
72 44 50 4 10.848101077316347 12.216058502593931
- - - - 10.845729312657056 12.086180414768377
- - - - 10.902224057001565 12.06579595766744
- - - - 10.902224057001565 12.06579595766744
72 50 64 1 12.10754280155585 11.67912167770541
72 58 77 1 12.824349880700623 15.552591720745546
73 2 53 1 26.31517553022251 8.63873061830947
73 9 22 1 22.92642614214689 15.328379288325669
73 71 96 1 5.540205907338914 9.982075176423963
76 19 25 1 25.780928185696812 16.221470690148113
76 24 96 1 6.512737820676244 9.892695089096142
77 7 58 1 12.948224864212012 16.567650633455635
77 48 56 1 29.83656713918426 3.824241811941354
79 46 90 1 10.787233282833688 7.506742055026598
79 60 90 1 11.508530184231478 8.098301518100236
80 9 25 1 22.96461599477528 16.531911933013944
80 75 100 1 22.969780374819962 14.245092705058799
81 28 78 1 12.76856327335307 13.424092059242366
82 3 78 1 14.098308185530357 13.693143205474636
82 52 83 1 15.044529264614436 15.82856287811844
83 1 67 1 18.89535837676057 16.306472618686225
84 65 75 1 24.38424795755851 14.592320390591803
87 6 83 1 14.939323609695226 17.396611004779963
89 29 59 2 25.100607574141733 14.082093827099143
- - - - 25.100607574141733 14.082093827099143
89 35 50 1 9.00274258456039 10.195281415240323
90 30 90 1 12.198256611636385 7.36676695987013
91 7 58 1 11.495310525874494 15.42737077933718
91 50 60 2 9.61528571327209 10.016581066863875
- - - - 9.61528571327209 10.016581066863875
91 58 77 1 10.694219650093409 14.60166809968192
96 12 48 1 24.37932360670566 3.8018288175804744
96 72 90 1 11.072509226647739 6.7766572360546995
